cedula,nombre,salario,meses_trabajados,sexo,estado_civil,monto_solicitado,direccion
1-2401-3324,Douglas Zúñiga Segura,1420000,159,M,Unión libre,440000,"150 metros sur de el EBAIS, casa verde, Palmar, Osa, Puntarenas"
4-4091-1154,Kevin Umaña Calderón,1806000,276,F,Casada,1499000,"25 metros sur de la plaza de deportes, casa beige, San Vicente, Santo Domingo, Heredia"
5-1032-7136,Luis Arce Campos,1235000,273,M,Soltero,1363000,"150 metros sur de la iglesia católica, casa verde, Escazú, Escazú, San José"
3-5939-2925,Alberto Umaña Bonilla,845000,285,M,Viudo,4351000,"150 metros este de la gasolinera, casa beige, Heredia, Heredia, Heredia"
7-9107-6112,Esteban Quesada Ramírez,1681000,222,M,Soltero,4247000,"300 metros este de la gasolinera, casa amarilla, Oriental, Cartago, Cartago"
2-6710-6736,Rodrigo Céspedes Zúñiga,1221000,80,M,Viudo,3718000,"100 metros oeste de el EBAIS, casa verde, Oriental, Cartago, Cartago"
7-8281-5319,Marcela Cascante Araya,1309000,170,F,Divorciada,1275000,"50 metros este de el EBAIS, casa beige, Limón, Limón, Limón"
1-6393-7711,Valeria Solís Bonilla,2466000,108,F,Viuda,3576000,"300 metros este de el parque central, casa amarilla, San Francisco, Heredia, Heredia"
5-5131-3139,Valeria Céspedes Retana,2048000,244,M,Divorciado,4056000,"300 metros norte de el parque central, casa terracota, Puntarenas, Puntarenas, Puntarenas"
3-1291-4427,Priscilla Godínez Araya,1863000,41,M,Divorciado,4652000,"150 metros norte de la iglesia católica, casa celeste, Carrizal, Alajuela, Alajuela"
5-3798-6069,Sofía Barquero Vega,2487000,349,F,Casada,4925000,"100 metros norte de el parque central, casa verde, Oriental, Cartago, Cartago"
6-9411-4790,Manuel Segura Segura,1773000,163,M,Unión libre,5069000,"500 metros este de la gasolinera, casa verde, Tres Ríos, La Unión, Cartago"
2-1356-8875,Adriana Salas Picado,1164000,189,M,Viudo,2341000,"400 metros este de la escuela, casa beige, Valle La Estrella, Limón, Limón"
6-9720-5892,Manuel Retana Cordero,2437000,268,M,Unión libre,4981000,"300 metros oeste de la plaza de deportes, casa gris, Catedral, San José, San José"
5-3856-5218,Silvia Aguilar Zúñiga,785000,312,M,Soltero,1859000,"25 metros oeste de la escuela, casa celeste, Occidental, Cartago, Cartago"
2-5434-9004,Andrés Madrigal Villalobos,1839000,334,M,Unión libre,3311000,"150 metros sur de la sucursal del banco, casa gris, Concepción, La Unión, Cartago"
7-2000-1565,Daniela Campos Chaves,920000,137,M,Casado,4526000,"300 metros sur de la gasolinera, casa celeste, San Antonio, Escazú, San José"
6-3521-7781,Andrea Retana Bonilla,468000,154,M,Casado,1909000,"300 metros norte de la gasolinera, casa gris, San Antonio, Escazú, San José"
2-9326-1659,Manuel Rodríguez Mora,737000,181,M,Divorciado,4900000,"200 metros este de el parque central, casa celeste, Chacarita, Puntarenas, Puntarenas"
6-8096-4267,Jorge Fonseca Quesada,2375000,109,M,Viudo,3150000,"100 metros oeste de el cruce principal, casa amarilla, Santo Domingo, Santo Domingo, Heredia"
6-8216-8893,Sofía Núñez Sánchez,824000,41,M,Divorciado,2999000,"100 metros norte de el supermercado, casa celeste, Valle La Estrella, Limón, Limón"
1-9960-3373,Andrea Araya Brenes,1845000,204,M,Viudo,178000,"500 metros oeste de el EBAIS, casa terracota, Mansión, Nicoya, Guanacaste"
7-3359-4646,Alberto Picado Zúñiga,547000,358,M,Soltero,5588000,"300 metros este de la iglesia católica, casa amarilla, Occidental, Cartago, Cartago"
3-1609-2319,Jessica Vargas Rojas,2203000,289,M,Divorciado,991000,"400 metros oeste de la gasolinera, casa beige, Mercedes, Heredia, Heredia"
1-2722-7419,Sofía Ramírez Cascante,1394000,10,F,Casada,478000,"50 metros norte de la plaza de deportes, casa gris, Merced, San José, San José"
3-8678-4973,Karla Fonseca Godínez,1630000,215,F,Casada,438000,"500 metros sur de el supermercado, casa amarilla, San Rafael, Escazú, San José"
4-8910-9682,José Bonilla Núñez,1925000,18,F,Unión libre,4437000,"500 metros sur de el EBAIS, casa celeste, Alajuela, Alajuela, Alajuela"
7-8073-1430,Alberto Obando Aguilar,1031000,272,F,Divorciada,1100000,"300 metros sur de la iglesia católica, casa beige, Río Blanco, Limón, Limón"
7-2731-7814,Karla Rodríguez Fonseca,1155000,27,F,Soltera,2251000,"100 metros este de la plaza de deportes, casa blanca, San Rafael, Escazú, San José"
6-2895-8330,Katherine Vargas Montero,2262000,264,M,Casado,5264000,"25 metros sur de la gasolinera, casa blanca, Quesada, San Carlos, Alajuela"
3-4352-1119,Ricardo Retana Vargas,2280000,133,M,Soltero,684000,"100 metros sur de la gasolinera, casa terracota, Quesada, San Carlos, Alajuela"
5-7438-8602,Sofía Fonseca Vargas,411000,212,F,Casada,3260000,"50 metros oeste de el supermercado, casa celeste, Zapote, San José, San José"
7-6522-7550,Daniela Ramírez Picado,728000,10,M,Unión libre,2920000,"50 metros sur de la sucursal del banco, casa terracota, Alajuela, Alajuela, Alajuela"
2-9109-2890,Andrés Rodríguez Zúñiga,716000,358,M,Divorciado,4179000,"400 metros este de la sucursal del banco, casa verde, San José, Alajuela, Alajuela"
2-2893-7180,Natalia Campos Obando,1085000,158,M,Divorciado,4452000,"25 metros norte de la plaza de deportes, casa gris, San Juan de Dios, Desamparados, San José"
1-4975-8724,Jorge Obando Godínez,2308000,58,F,Unión libre,653000,"100 metros norte de la sucursal del banco, casa verde, San Antonio, Escazú, San José"
4-5841-3466,Óscar Rodríguez Elizondo,847000,50,F,Soltera,1963000,"300 metros oeste de la iglesia católica, casa terracota, San Rafael, Escazú, San José"
6-5872-5110,Alejandro Retana Vega,2273000,152,F,Viuda,2665000,"100 metros norte de la sucursal del banco, casa blanca, San Diego, La Unión, Cartago"
2-6331-3717,Diego Quesada Zúñiga,876000,308,F,Viuda,2846000,"400 metros sur de la sucursal del banco, casa verde, Alajuela, Alajuela, Alajuela"
3-8408-4974,Gabriela Godínez Campos,503000,319,F,Divorciada,1700000,"200 metros sur de el cruce principal, casa gris, Cariari, Pococí, Limón"
6-9141-1969,Wendy Campos Vargas,2454000,173,F,Viuda,4702000,"200 metros oeste de la escuela, casa gris, Liberia, Liberia, Guanacaste"
5-6737-6746,Óscar Aguilar Quesada,405000,216,F,Unión libre,4406000,"400 metros oeste de la plaza de deportes, casa terracota, Nosara, Nicoya, Guanacaste"
7-1477-2752,Natalia Núñez Chaves,2359000,317,F,Divorciada,3324000,"500 metros sur de el cruce principal, casa beige, Puerto Cortés, Osa, Puntarenas"
1-2662-2915,Paola Blanco Castro,2223000,308,M,Unión libre,2942000,"50 metros oeste de la escuela, casa verde, San José, Alajuela, Alajuela"
7-6599-3468,Priscilla Vega Solís,782000,98,M,Soltero,4642000,"500 metros este de el supermercado, casa blanca, Quesada, San Carlos, Alajuela"
4-8639-2631,Katherine Calderón Herrera,723000,11,M,Casado,5717000,"500 metros oeste de la iglesia católica, casa amarilla, San Miguel, Desamparados, San José"
3-2614-1770,Rodrigo Chaves Calderón,631000,131,F,Viuda,5939000,"150 metros oeste de la iglesia católica, casa verde, Heredia, Heredia, Heredia"
5-6038-5229,Melissa Solís Quesada,1844000,39,M,Unión libre,3462000,"50 metros este de la plaza de deportes, casa amarilla, Escazú, Escazú, San José"
6-9581-3970,Silvia Vega Salas,489000,285,F,Casada,5093000,"200 metros oeste de el EBAIS, casa amarilla, Río Blanco, Limón, Limón"
4-3670-6862,Silvia Campos Salas,1625000,57,M,Unión libre,5067000,"150 metros norte de la escuela, casa beige, Chacarita, Puntarenas, Puntarenas"
6-6512-7651,Andrea Calderón Retana,2241000,312,F,Soltera,3182000,"50 metros este de el cruce principal, casa terracota, Cañas Dulces, Liberia, Guanacaste"
4-6869-1236,Alberto Zúñiga Montero,1378000,246,F,Unión libre,182000,"300 metros oeste de la gasolinera, casa blanca, Mansión, Nicoya, Guanacaste"
5-1895-2903,Valeria Calderón Salas,1922000,154,F,Unión libre,5913000,"200 metros norte de la escuela, casa celeste, Liberia, Liberia, Guanacaste"
1-7014-9842,Priscilla Solís Retana,2464000,325,M,Casado,5157000,"25 metros este de el supermercado, casa blanca, Carmen, San José, San José"
6-2094-2718,Luis Céspedes Zúñiga,500000,71,M,Soltero,3711000,"25 metros este de el cruce principal, casa verde, Valle La Estrella, Limón, Limón"
1-7793-6105,Marcela Araya Cascante,1025000,311,F,Casada,3353000,"25 metros norte de la gasolinera, casa beige, Santa Rosa, Santo Domingo, Heredia"
7-1013-5709,Diego Herrera Calderón,1135000,139,F,Casada,3884000,"100 metros sur de la plaza de deportes, casa celeste, San Diego, La Unión, Cartago"
1-4167-8640,Óscar Rojas Arce,1951000,39,F,Soltera,182000,"300 metros norte de el EBAIS, casa beige, Palmar, Osa, Puntarenas"
1-5974-9831,Katherine Castro Cascante,649000,354,F,Divorciada,1944000,"500 metros este de el supermercado, casa celeste, Alajuela, Alajuela, Alajuela"
4-5118-8715,Adriana Sánchez Sánchez,1079000,185,F,Soltera,3980000,"50 metros sur de el EBAIS, casa terracota, Escazú, Escazú, San José"
3-4708-5522,Manuel Vargas Campos,971000,138,M,Unión libre,3821000,"400 metros norte de la escuela, casa verde, Palmar, Osa, Puntarenas"
4-6180-5652,Carolina Herrera Mora,628000,150,F,Soltera,3663000,"50 metros sur de la escuela, casa beige, San Miguel, Desamparados, San José"
1-6216-2536,Esteban Bonilla Aguilar,2037000,350,F,Casada,2838000,"150 metros norte de la plaza de deportes, casa terracota, Carmen, San José, San José"
6-8027-2020,Pablo Segura Arce,1176000,278,F,Viuda,2180000,"300 metros oeste de la sucursal del banco, casa terracota, Nosara, Nicoya, Guanacaste"
4-1857-1647,Manuel Alfaro Umaña,2002000,62,M,Viudo,5947000,"300 metros norte de el EBAIS, casa blanca, Puerto Cortés, Osa, Puntarenas"
3-4496-8539,Tatiana Rodríguez Castro,507000,271,M,Casado,3988000,"300 metros sur de el cruce principal, casa terracota, San José, Alajuela, Alajuela"
3-3938-6042,Melissa Brenes Calderón,2136000,285,M,Unión libre,3643000,"150 metros norte de el cruce principal, casa amarilla, Nicoya, Nicoya, Guanacaste"
5-9023-5289,Mauricio Fonseca Segura,714000,100,M,Unión libre,2295000,"100 metros norte de la gasolinera, casa celeste, Valle La Estrella, Limón, Limón"
5-7656-8643,Priscilla Vargas Araya,1538000,356,M,Divorciado,851000,"25 metros este de la gasolinera, casa verde, Carrizal, Alajuela, Alajuela"
5-8069-6151,Rodrigo Cordero Castro,1497000,62,F,Unión libre,5881000,"25 metros sur de la escuela, casa verde, Puntarenas, Puntarenas, Puntarenas"
3-5426-1221,Tatiana Brenes Ramírez,1471000,247,F,Casada,2380000,"500 metros norte de la sucursal del banco, casa celeste, Palmar, Osa, Puntarenas"
2-7403-2521,Wendy Arce Blanco,381000,287,F,Soltera,103000,"50 metros norte de el parque central, casa gris, Florencia, San Carlos, Alajuela"
