cedula,nombre,id_articulo,costo_articulo,sexo,estado_civil,direccion,telefono
3-3002-5284,Douglas Alfaro Obando,ART-41929,316000,M,Viudo,"100 metros este de la iglesia católica, casa blanca, Liberia, Liberia, Guanacaste",8112-6075
3-5656-9703,Óscar Jiménez Bonilla,ART-20356,2593000,F,Divorciada,"400 metros este de el cruce principal, casa amarilla, Hospital, San José, San José",8889-4705
2-2581-5442,Mauricio Quesada Rodríguez,ART-30010,1594000,F,Divorciada,"200 metros este de la iglesia católica, casa gris, San Juan de Dios, Desamparados, San José",6186-2598
3-6222-5485,Valeria Cascante Céspedes,ART-30369,3497000,F,Soltera,"25 metros este de el supermercado, casa gris, San Francisco, Heredia, Heredia",6377-7895
6-2993-3176,Mauricio Solís Segura,ART-72622,2384000,M,Soltero,"500 metros este de la sucursal del banco, casa amarilla, San Vicente, Santo Domingo, Heredia",7151-3893
5-7817-5245,Sofía Calderón Aguilar,ART-58967,2682000,F,Soltera,"400 metros norte de la escuela, casa blanca, Sierpe, Osa, Puntarenas",7387-9426
4-6594-2509,Carlos Jiménez Montero,ART-46773,1886000,M,Unión libre,"300 metros oeste de la plaza de deportes, casa beige, Nacascolo, Liberia, Guanacaste",7789-7404
2-5097-9562,Diego Sánchez Alfaro,ART-70522,2338000,F,Viuda,"300 metros sur de la sucursal del banco, casa blanca, San Juan de Dios, Desamparados, San José",6729-7647
4-9809-7313,José Araya Mora,ART-95850,674000,F,Viuda,"200 metros oeste de la iglesia católica, casa gris, Guápiles, Pococí, Limón",6379-2045
7-9556-1518,Paola Chaves Bonilla,ART-17201,1878000,F,Casada,"150 metros este de la iglesia católica, casa beige, Occidental, Cartago, Cartago",6341-3845
2-5278-4826,Felipe Ramírez Retana,ART-78084,3020000,M,Viudo,"400 metros oeste de la gasolinera, casa blanca, Heredia, Heredia, Heredia",6770-7348
3-9019-6164,Mauricio Araya Jiménez,ART-79893,558000,F,Soltera,"300 metros norte de la gasolinera, casa celeste, Quesada, San Carlos, Alajuela",8880-3857
1-2897-4331,Luis Bonilla Vargas,ART-89288,397000,M,Unión libre,"300 metros oeste de el EBAIS, casa terracota, Liberia, Liberia, Guanacaste",8596-2700
2-2940-5378,Jessica Madrigal Montero,ART-10501,2701000,F,Unión libre,"150 metros este de el supermercado, casa celeste, Cañas Dulces, Liberia, Guanacaste",6391-1307
5-8393-4709,Alberto Retana Ramírez,ART-80601,3145000,F,Soltera,"200 metros oeste de la escuela, casa blanca, Jiménez, Pococí, Limón",6173-3404
2-7974-3870,Manuel Mora Cordero,ART-21168,2210000,F,Unión libre,"500 metros este de el EBAIS, casa amarilla, San Francisco, Heredia, Heredia",7204-3773
6-9022-1955,Silvia Cordero Picado,ART-39532,1785000,M,Divorciado,"100 metros norte de la sucursal del banco, casa verde, Puntarenas, Puntarenas, Puntarenas",6886-6594
6-8025-1422,Douglas Cascante Jiménez,ART-95000,2932000,F,Unión libre,"100 metros sur de el supermercado, casa celeste, Sierpe, Osa, Puntarenas",6809-5429
3-5250-4610,Fabiola Salas Campos,ART-29485,1526000,F,Soltera,"150 metros norte de el supermercado, casa blanca, Occidental, Cartago, Cartago",6819-5939
3-4484-3626,Gustavo Cordero Brenes,ART-46519,1501000,M,Unión libre,"400 metros este de la escuela, casa terracota, Nicoya, Nicoya, Guanacaste",8292-9697
5-4592-9002,Manuel Campos Godínez,ART-59142,402000,M,Casado,"50 metros sur de el supermercado, casa beige, Guápiles, Pococí, Limón",6243-3744
5-1877-8494,Felipe Núñez Jiménez,ART-43371,1982000,F,Unión libre,"300 metros sur de la escuela, casa beige, Río Blanco, Limón, Limón",6874-4123
3-6365-5455,Alejandro Céspedes Vargas,ART-81539,1452000,M,Unión libre,"300 metros este de la escuela, casa celeste, El Carmen, Cartago, Cartago",8740-4877
7-6080-2627,Melissa Campos Campos,ART-19220,3126000,M,Unión libre,"150 metros sur de el parque central, casa amarilla, Nacascolo, Liberia, Guanacaste",7482-5063
3-9652-9494,Bryan Vega Cordero,ART-72852,2465000,F,Soltera,"200 metros norte de el EBAIS, casa blanca, San Diego, La Unión, Cartago",8390-7223
2-7831-9221,Sofía Bonilla Sánchez,ART-55573,1185000,F,Divorciada,"50 metros oeste de la iglesia católica, casa terracota, Catedral, San José, San José",7431-2962
1-3762-2405,Roberto Núñez Solís,ART-18391,642000,M,Viudo,"200 metros este de el EBAIS, casa beige, San Miguel, Desamparados, San José",7871-6325
5-2125-8124,Ricardo Elizondo Núñez,ART-38943,242000,F,Soltera,"400 metros este de la escuela, casa celeste, El Roble, Puntarenas, Puntarenas",8818-9353
3-4877-8945,María Segura Rodríguez,ART-11085,1767000,F,Viuda,"100 metros norte de la iglesia católica, casa celeste, Florencia, San Carlos, Alajuela",8863-2765
2-6648-1948,Luis Umaña Aguilar,ART-41186,2886000,M,Casado,"100 metros oeste de la escuela, casa celeste, Quesada, San Carlos, Alajuela",8905-7625
7-9864-1950,Manuel Blanco Rojas,ART-42364,1464000,F,Divorciada,"100 metros norte de la gasolinera, casa terracota, San Vicente, Santo Domingo, Heredia",7772-5299
3-9133-3126,Héctor Montero Araya,ART-72647,1811000,F,Divorciada,"400 metros oeste de la gasolinera, casa amarilla, San Juan de Dios, Desamparados, San José",6385-5299
2-4336-4605,Alberto Rojas Cascante,ART-94368,1925000,M,Soltero,"150 metros este de el EBAIS, casa verde, Santa Rosa, Santo Domingo, Heredia",7360-5593
5-5837-4638,Douglas Jiménez Fonseca,ART-16781,1271000,M,Casado,"200 metros norte de la gasolinera, casa celeste, Limón, Limón, Limón",7598-3623
1-4549-7357,Jorge Bonilla Rodríguez,ART-36339,3378000,M,Soltero,"25 metros este de el cruce principal, casa terracota, Catedral, San José, San José",6864-9641
3-6721-4242,Fabiola Vega Sánchez,ART-54101,1466000,F,Soltera,"100 metros oeste de el EBAIS, casa blanca, San Diego, La Unión, Cartago",8644-7638
4-8782-2612,Andrés Bonilla Campos,ART-61535,3437000,F,Divorciada,"100 metros sur de la iglesia católica, casa blanca, Escazú, Escazú, San José",6231-9399
1-9495-9791,Andrés Madrigal Fonseca,ART-29619,1508000,F,Soltera,"200 metros sur de la plaza de deportes, casa verde, Valle La Estrella, Limón, Limón",8217-5952
3-9257-4301,Gabriela Salas Fonseca,ART-66895,1111000,F,Casada,"50 metros este de la gasolinera, casa terracota, Concepción, La Unión, Cartago",7769-9805
1-6447-9499,Silvia Cordero Madrigal,ART-18561,2734000,F,Unión libre,"25 metros oeste de la escuela, casa gris, Quesada, San Carlos, Alajuela",7785-9070
5-5979-3379,Adriana Zúñiga Salas,ART-87831,1121000,F,Casada,"150 metros este de el EBAIS, casa verde, Desamparados, Desamparados, San José",7759-7811
7-4202-8241,Esteban Villalobos Retana,ART-27835,1940000,F,Casada,"25 metros sur de la escuela, casa terracota, Escazú, Escazú, San José",6447-4258
2-5124-9749,Andrea Herrera Godínez,ART-65788,1293000,M,Divorciado,"400 metros este de el supermercado, casa gris, San Vicente, Santo Domingo, Heredia",8683-6083
7-5060-4086,Melissa Calderón Ramírez,ART-95608,250000,F,Casada,"100 metros sur de el supermercado, casa gris, San Antonio, Escazú, San José",6136-3523
1-6255-5904,Manuel Aguilar Arce,ART-17140,3050000,F,Unión libre,"200 metros sur de la iglesia católica, casa terracota, Nacascolo, Liberia, Guanacaste",6950-4116
7-8750-5063,Jessica Alfaro Picado,ART-18508,299000,F,Unión libre,"25 metros norte de la gasolinera, casa blanca, Mercedes, Heredia, Heredia",7657-5781
6-1746-6100,María Vega Rojas,ART-79624,2087000,M,Divorciado,"100 metros este de el supermercado, casa verde, Mansión, Nicoya, Guanacaste",6528-9832
4-5812-9956,Esteban Segura Núñez,ART-82657,546000,M,Casado,"25 metros este de la sucursal del banco, casa terracota, Tres Ríos, La Unión, Cartago",6298-5698
7-2060-4565,Rodrigo Alfaro Brenes,ART-89498,1128000,M,Casado,"100 metros oeste de el cruce principal, casa terracota, San Miguel, Desamparados, San José",6294-1889
4-4627-4181,Priscilla Arce Arce,ART-75287,2408000,F,Viuda,"500 metros norte de el supermercado, casa beige, Santa Rosa, Santo Domingo, Heredia",7771-3442
2-5429-9312,Paola Campos Mora,ART-92809,2099000,M,Casado,"150 metros este de el supermercado, casa verde, Aguas Zarcas, San Carlos, Alajuela",6452-5478
5-3931-7031,Alberto Brenes Vargas,ART-59142,1150000,M,Viudo,"500 metros sur de la gasolinera, casa terracota, Concepción, La Unión, Cartago",7120-1055
7-5792-5717,Ana Bonilla Araya,ART-22731,575000,M,Unión libre,"150 metros oeste de el EBAIS, casa blanca, San Rafael, Escazú, San José",7899-1388
4-2220-6089,Diego Picado Vega,ART-53823,3081000,M,Soltero,"25 metros norte de el EBAIS, casa verde, Mansión, Nicoya, Guanacaste",8410-3690
5-5241-2940,Rodrigo Cascante Núñez,ART-70614,434000,M,Viudo,"150 metros oeste de el EBAIS, casa beige, Occidental, Cartago, Cartago",8958-9914
2-6687-9692,Ricardo Bonilla Mora,ART-30607,3445000,F,Viuda,"400 metros este de el EBAIS, casa celeste, Guápiles, Pococí, Limón",8235-5277
3-9036-7325,Ana Araya Obando,ART-59726,1237000,M,Divorciado,"100 metros oeste de la gasolinera, casa terracota, El Carmen, Cartago, Cartago",8455-2979
4-3899-8730,Priscilla Aguilar Montero,ART-99399,3474000,F,Divorciada,"150 metros sur de el supermercado, casa terracota, Oriental, Cartago, Cartago",8529-6721
1-9592-6001,Manuel Ramírez Quesada,ART-75964,2077000,M,Divorciado,"150 metros sur de la plaza de deportes, casa verde, San Juan de Dios, Desamparados, San José",6416-4572
6-1755-3894,Andrés Herrera Barquero,ART-75133,2241000,F,Divorciada,"500 metros oeste de el cruce principal, casa verde, Desamparados, Desamparados, San José",7986-7048
6-3812-3665,Tatiana Montero Calderón,ART-70404,747000,F,Viuda,"50 metros oeste de la sucursal del banco, casa gris, Chacarita, Puntarenas, Puntarenas",7981-1364
2-4143-4262,Mauricio Solís Elizondo,ART-73109,1752000,F,Soltera,"500 metros este de la plaza de deportes, casa gris, Desamparados, Desamparados, San José",7437-1429
5-8859-7149,Kevin Obando Madrigal,ART-21656,3170000,F,Casada,"50 metros norte de la iglesia católica, casa gris, Carmen, San José, San José",6576-4353
1-3021-4513,Carlos Arce Picado,ART-24273,2132000,F,Casada,"400 metros este de el cruce principal, casa blanca, San Juan de Dios, Desamparados, San José",6153-7333
7-5632-6146,Valeria Cordero Chaves,ART-99753,2053000,M,Casado,"100 metros norte de la escuela, casa blanca, Tres Ríos, La Unión, Cartago",6355-3233
7-8379-5673,José Umaña Salas,ART-12105,2021000,M,Unión libre,"500 metros sur de la sucursal del banco, casa celeste, Occidental, Cartago, Cartago",8926-6231
5-9038-4429,Natalia Cordero Alfaro,ART-19356,2637000,M,Casado,"400 metros norte de la iglesia católica, casa celeste, Valle La Estrella, Limón, Limón",7112-5623
3-8086-9464,Héctor Arce Araya,ART-75173,441000,F,Viuda,"400 metros oeste de la gasolinera, casa beige, Jiménez, Pococí, Limón",6458-8498
5-1740-1771,Fernando Campos Obando,ART-85215,2075000,F,Soltera,"400 metros sur de la plaza de deportes, casa amarilla, Concepción, La Unión, Cartago",8711-2911
3-1440-8670,Mauricio Elizondo Chaves,ART-26089,1793000,M,Viudo,"100 metros este de la escuela, casa gris, Jiménez, Pococí, Limón",7842-7586
4-1535-8033,Manuel Chaves Madrigal,ART-27228,363000,F,Casada,"200 metros oeste de el supermercado, casa beige, Mercedes, Heredia, Heredia",6551-9113
5-9058-3495,Esteban Zúñiga Sánchez,ART-69664,1976000,M,Casado,"500 metros sur de la gasolinera, casa gris, Concepción, La Unión, Cartago",8755-6130
4-8789-3331,Carlos Céspedes Chaves,ART-27867,1941000,F,Casada,"200 metros norte de el parque central, casa celeste, Alajuela, Alajuela, Alajuela",8437-2480
2-6770-6806,Óscar Godínez Fonseca,ART-77411,3301000,M,Divorciado,"100 metros norte de la sucursal del banco, casa blanca, San Francisco, Heredia, Heredia",6746-2325
1-1114-8148,Fabiola Montero Fonseca,ART-99118,311000,M,Divorciado,"100 metros norte de la sucursal del banco, casa beige, El Roble, Puntarenas, Puntarenas",7402-3213
4-4902-6133,Jorge Fonseca Solís,ART-82516,446000,F,Casada,"400 metros este de el parque central, casa amarilla, Desamparados, Desamparados, San José",6609-5492
4-7888-7906,Priscilla Arce Chaves,ART-58269,2507000,F,Soltera,"25 metros oeste de la iglesia católica, casa amarilla, Escazú, Escazú, San José",8509-5421
4-8993-7164,Roberto Solís Castro,ART-57628,1642000,M,Divorciado,"50 metros sur de el cruce principal, casa celeste, Puntarenas, Puntarenas, Puntarenas",8722-5283
5-8990-6635,Andrés Herrera Barquero,ART-11552,2134000,M,Casado,"500 metros oeste de la gasolinera, casa celeste, San Diego, La Unión, Cartago",8623-5209
1-6514-5047,Esteban Segura Araya,ART-69452,639000,F,Casada,"50 metros norte de la iglesia católica, casa celeste, Escazú, Escazú, San José",7851-8269
6-4291-6716,Carolina Chaves Cordero,ART-29194,233000,M,Viudo,"25 metros sur de la escuela, casa terracota, San José, Alajuela, Alajuela",6234-4809
1-8695-5546,Esteban Vargas Solís,ART-80846,2152000,F,Viuda,"300 metros oeste de el parque central, casa celeste, San Juan de Dios, Desamparados, San José",8715-5539
2-4712-9341,Fabiola Picado Calderón,ART-70144,1962000,F,Unión libre,"150 metros este de el parque central, casa amarilla, Carmen, San José, San José",6869-2128
